protein_id,nt_length,protein_classification
QXV75669.1,180,unknown
QXV75670.1,246,unknown
QXV75671.1,105,unknown
QXV75672.1,216,unknown
QXV75673.1,285,unknown
QXV75674.1,135,unknown
QXV75675.1,192,unknown
QXV75676.1,312,unknown
QXV75677.1,NA,NA
QXV75678.1,273,unknown
QXV75679.1,264,unknown
QXV75680.1,420,unknown
QXV75681.1,216,unknown
QXV75682.1,NA,NA
QXV75683.1,213,unknown
QXV75684.1,102,unknown
QXV75685.1,135,unknown
QXV75686.1,300,unknown
QXV75687.1,327,unknown
QXV75688.1,306,unknown
QXV75689.1,252,unknown
QXV75690.1,141,unknown
QXV75691.1,264,unknown
QXV75692.1,288,unknown
QXV75693.1,330,unknown
QXV75694.1,351,unknown
QXV75695.1,258,unknown
QXV75696.1,396,unknown
QXV75697.1,333,unknown
QXV75698.1,264,unknown
QXV75699.1,270,unknown
QXV75700.1,102,unknown
QXV75701.1,318,unknown
QXV75702.1,291,unknown
QXV75703.1,372,unknown
QXV75704.1,255,unknown
QXV75705.1,225,unknown
QXV75706.1,282,unknown
QXV75707.1,297,unknown
QXV75708.1,NA,NA
QXV75709.1,186,unknown
QXV75710.1,195,unknown
QXV75711.1,288,unknown
QXV75712.1,348,unknown
QXV75713.1,456,assembly;
QXV75714.1,186,unknown
QXV75715.1,108,unknown
QXV75716.1,153,unknown
QXV75717.1,237,unknown
QXV75718.1,525,unknown
QXV75719.1,234,unknown
QXV75720.1,399,unknown
QXV75721.1,240,unknown
QXV75722.1,285,unknown
QXV75723.1,534,unknown
QXV75724.1,1050,lysis;
QXV75725.1,312,unknown
QXV75726.1,789,unknown
QXV75727.1,351,unknown
QXV75728.1,114,unknown
QXV75729.1,474,replication;
QXV75730.1,117,unknown
QXV75731.1,2168,replication;
QXV75732.1,279,unknown
QXV75733.1,1089,integration;replication;
QXV75734.1,2316,replication;
QXV75735.1,231,unknown
QXV75736.1,501,unknown
QXV75737.1,984,unknown
QXV75738.1,201,unknown
QXV75739.1,594,unknown
QXV75740.1,615,unknown
QXV75741.1,192,unknown
QXV75742.1,459,unknown
QXV75743.1,819,unknown
QXV75744.1,984,unknown
QXV75745.1,222,unknown
QXV75746.1,606,integration;packaging;
QXV75747.1,630,unknown
QXV75748.1,333,unknown
QXV75749.1,1140,packaging;
QXV75750.1,309,unknown
QXV75751.1,291,integration;
QXV75752.1,447,packaging;
QXV75753.1,471,lysis;
QXV75754.1,1284,replication;
QXV75755.1,270,unknown
QXV75756.1,309,unknown
QXV75757.1,714,unknown
QXV75758.1,762,unknown
QXV75759.1,351,unknown
QXV75760.1,918,replication;
QXV75761.1,411,unknown
QXV75762.1,555,unknown
QXV75763.1,351,regulation;
QXV75764.1,102,unknown
QXV75765.1,NA,NA
QXV75766.1,NA,NA
QXV75767.1,579,unknown
QXV75768.1,189,unknown
QXV75769.1,243,unknown
QXV75770.1,NA,NA
QXV75771.1,339,unknown
QXV75772.1,270,unknown
QXV76132.1,507,packaging;
QXV76133.1,NA,NA
QXV76134.1,1569,packaging;
QXV76135.1,396,unknown
QXV76136.1,381,unknown
QXV76137.1,1263,assembly;
QXV76138.1,1107,lysis;assembly;
QXV76139.1,507,assembly;
QXV76140.1,1290,assembly;
QXV76141.1,1434,infection;
QXV76142.1,945,unknown
QXV76143.1,246,unknown
QXV76144.1,402,unknown
QXV76145.1,372,unknown
QXV76146.1,438,unknown
QXV76147.1,402,unknown
QXV76148.1,657,infection;
QXV76149.1,NA,NA
QXV76150.1,315,unknown
QXV76151.1,312,unknown
QXV76152.1,2763,assembly;
QXV76153.1,378,infection;
QXV76154.1,756,infection;
QXV76155.1,318,unknown
QXV76156.1,759,infection;
QXV76157.1,573,assembly;infection;
QXV76158.1,3510,infection;
QXV76159.1,936,unknown
QXV76160.1,231,unknown
QXV76161.1,690,regulation;
QXV76162.1,NA,NA
QXV76163.1,NA,NA
QXV76164.1,NA,NA
QXV76165.1,NA,NA
QXV76166.1,966,packaging;
QXV76167.1,651,integration;
QXV76168.1,408,replication;
QXV76169.1,NA,NA
QXV76170.1,924,replication;
QXV76171.1,480,unknown
QXV76172.1,510,assembly;
QXV76173.1,1995,replication;
QXV76174.1,420,unknown
QXV76175.1,NA,NA
QXV76176.1,222,unknown
QXV76177.1,192,unknown
QXV76178.1,126,unknown
QXV76179.1,249,unknown
QXV76180.1,252,unknown
QXV76181.1,1131,unknown
QXV76182.1,486,packaging;
QXV76183.1,177,unknown
QXV76184.1,216,lysis;
QXV76185.1,486,lysis;
QXV76186.1,399,unknown
QXV76187.1,336,unknown
QXV76188.1,1584,assembly;
QXV76189.1,351,unknown
QXV76190.1,162,unknown
QXV76191.1,240,assembly;
QXV76192.1,195,unknown
QXV76193.1,174,unknown
QXV76194.1,NA,NA
QXV76195.1,NA,NA
QXV76196.1,480,unknown
QXV76197.1,528,unknown
QXV76198.1,261,unknown
QXV76199.1,132,unknown
QXV76200.1,615,unknown
QXV76201.1,219,unknown
QXV76202.1,138,unknown
QXV76203.1,180,unknown
QXV76204.1,126,unknown
QXV76205.1,NA,NA
QXV76206.1,240,unknown
QXV76207.1,NA,NA
QXV76208.1,NA,NA
QXV76209.1,183,unknown
QXV76483.1,540,packaging;
QXV76484.1,1572,unknown
QXV76485.1,1317,infection;
QXV76486.1,765,unknown
QXV76487.1,1107,assembly;
QXV76488.1,477,unknown
QXV76489.1,783,unknown
QXV76490.1,978,assembly;
QXV76491.1,303,unknown
QXV76492.1,414,unknown
QXV76493.1,378,assembly;
QXV76494.1,444,unknown
QXV76495.1,411,infection;
QXV76496.1,657,infection;
QXV76497.1,315,assembly;infection;
QXV76498.1,300,unknown
QXV76498.1,300,unknown
QXV76499.1,2706,unknown
QXV76500.1,354,assembly;
QXV76501.1,759,unknown
QXV76502.1,717,assembly;
QXV76503.1,603,assembly;infection;
QXV76504.1,3423,infection;
QXV76505.1,306,unknown
QXV76506.1,672,unknown
QXV76507.1,228,lysis;integration;
QXV76508.1,1071,packaging;
QXV76509.1,654,unknown
QXV76510.1,411,unknown
QXV76511.1,1785,infection;
QXV76512.1,945,unknown
QXV76513.1,447,unknown
QXV76514.1,1989,replication;
QXV76515.1,426,unknown
QXV76516.1,234,unknown
QXV76517.1,714,unknown
QXV76518.1,228,unknown
QXV76519.1,195,unknown
QXV76520.1,273,unknown
QXV76521.1,246,unknown
QXV76522.1,1134,unknown
QXV76523.1,NA,NA
QXV76524.1,177,unknown
QXV76525.1,216,lysis;
QXV76526.1,498,lysis;
QXV76527.1,405,unknown
QXV76528.1,NA,NA
QXV76529.1,405,unknown
QXV76530.1,1566,unknown
QXV76531.1,417,unknown
QXV76532.1,210,unknown
QXV76533.1,225,unknown
QXV76534.1,NA,NA
QXV76535.1,231,unknown
QXV76536.1,NA,NA
QXV76537.1,225,unknown
QXV76538.1,189,assembly;
QXV76539.1,NA,NA
QXV76540.1,NA,NA
QXV76541.1,NA,NA
QXV76542.1,291,unknown
QXV76543.1,591,unknown
QXV76544.1,333,unknown
QXV76545.1,483,unknown
QXV76546.1,516,unknown
QXV76547.1,NA,NA
QXV76548.1,NA,NA
QXV76549.1,NA,NA
QXV76550.1,213,unknown
QXV76551.1,NA,NA
QXV76552.1,315,unknown
QXV76553.1,NA,NA
QXV76554.1,219,unknown
QXV76555.1,447,unknown
QXV76556.1,561,unknown
QXV76557.1,579,unknown
QXV76558.1,NA,NA
QXV76559.1,NA,NA
QXV76560.1,225,unknown
QXV76561.1,375,unknown
QXV76562.1,234,assembly;
QXV76563.1,204,unknown
QXV76564.1,162,unknown
QXV76565.1,150,unknown
QXV76566.1,231,unknown
QXV76796.1,207,lysis;
QXV76797.1,270,packaging;
QXV76798.1,441,assembly;
QXV76799.1,294,assembly;
QXV76800.1,558,unknown
QXV76801.1,1761,packaging;
QXV76802.1,156,unknown
QXV76803.1,459,assembly;
QXV76804.1,198,assembly;
QXV76805.1,162,unknown
QXV76806.1,1104,unknown
QXV76807.1,2649,replication;
QXV76808.1,558,assembly;
QXV76809.1,150,assembly;
QXV76810.1,273,assembly;
QXV76811.1,1020,assembly;
QXV76812.1,264,assembly;
QXV76813.1,312,assembly;
QXV76814.1,105,unknown
QXV76815.1,99,assembly;
QXV76816.1,192,replication;regulation;
QXV76817.1,699,assembly;
QXV76818.1,447,assembly;
QXV76819.1,456,assembly;
QXV76820.1,93,unknown
QXV76821.1,1713,replication;
QXV76822.1,213,assembly;
QXV76823.1,303,assembly;
QXV76824.1,180,assembly;
QXV76825.1,213,unknown
QXV76826.1,2115,replication;
QXV76827.1,228,unknown
QXV76828.1,294,assembly;
QXV76829.1,210,assembly;
QXV76830.1,915,assembly;
QXV76831.1,87,assembly;
QXV76832.1,246,assembly;
QXV76833.1,273,assembly;
QXV76834.1,357,unknown
QXV76835.1,1602,assembly;infection;
QXV76836.1,912,assembly;
QXV76837.1,1044,assembly;
QXV76838.1,591,infection;
QXV76839.1,2475,infection;
QXV76840.1,414,assembly;
QXV76841.1,606,infection;
QXV76842.1,2280,infection;
QXV76843.1,3948,assembly;
QXV76844.1,1968,assembly;
QXV77114.1,552,packaging;
QXV77115.1,1599,packaging;
QXV77116.1,1527,assembly;
QXV77117.1,879,unknown
QXV77118.1,1104,assembly;
QXV77119.1,669,unknown
QXV77120.1,330,unknown
QXV77121.1,504,unknown
QXV77122.1,375,unknown
QXV77123.1,420,infection;
QXV77124.1,468,unknown
QXV77125.1,1179,infection;
QXV77126.1,429,unknown
QXV77127.1,339,unknown
QXV77128.1,3261,assembly;infection;
QXV77129.1,591,unknown
QXV77130.1,585,unknown
QXV77131.1,417,unknown
QXV77132.1,2640,infection;
QXV77133.1,966,unknown
QXV77134.1,NA,NA
QXV77135.1,NA,NA
QXV77136.1,147,unknown
QXV77137.1,1974,replication;
QXV77138.1,993,unknown
QXV77139.1,954,unknown
QXV77140.1,600,unknown
QXV77141.1,513,unknown
QXV77142.1,249,unknown
QXV77143.1,NA,NA
QXV77144.1,NA,NA
QXV77145.1,1416,unknown
QXV77146.1,759,unknown
QXV77147.1,102,unknown
QXV77148.1,252,unknown
QXV77149.1,765,unknown
QXV77150.1,825,unknown
QXV77151.1,723,unknown
QXV77152.1,2004,unknown
QXV77153.1,951,unknown
QXV77154.1,921,unknown
QXV77155.1,747,unknown
QXV77156.1,876,replication;
QXV77157.1,591,unknown
QXV77158.1,426,unknown
QXV77159.1,510,unknown
QXV77160.1,144,unknown
QXV77161.1,462,unknown
QXV77162.1,NA,NA
QXV77163.1,276,unknown
QXV77164.1,180,unknown
QXV77165.1,201,unknown
QXV77166.1,NA,NA
QXV77167.1,NA,NA
QXV77168.1,NA,NA
QXV77169.1,222,unknown
QXV77170.1,NA,NA
QXV77171.1,NA,NA
QXV77172.1,198,unknown
QXV77173.1,279,unknown
QXV77174.1,NA,NA
QXV77175.1,NA,NA
QXV77176.1,2550,replication;
QXV77177.1,237,unknown
QXV77178.1,399,unknown
QXV77179.1,270,unknown
QXV77180.1,216,unknown
QXV77181.1,387,unknown
QXV77182.1,351,unknown
QXV77183.1,270,unknown
QXV77184.1,621,unknown
QXV77185.1,258,unknown
QXV77186.1,258,unknown
QXV77187.1,186,unknown
QXV77188.1,NA,NA
QXV77189.1,480,unknown
QXV77190.1,423,unknown
QXV77191.1,NA,NA
QXV77192.1,NA,NA
QXV77193.1,288,unknown
QXV77194.1,NA,NA
QXV77195.1,366,unknown
QXV77196.1,339,unknown
QXV77197.1,441,unknown
QXV77198.1,354,unknown
QXV77199.1,495,unknown
QXV77200.1,192,unknown
QXV77201.1,228,unknown
QXV77202.1,501,lysis;
QXV77203.1,NA,NA
QXV77204.1,435,unknown
QXV77205.1,309,unknown
QXV77206.1,243,unknown
QXV77376.1,525,unknown
QXV77377.1,1572,unknown
QXV77378.1,1296,unknown
QXV77379.1,672,unknown
QXV77380.1,1110,unknown
QXV77381.1,480,unknown
QXV77382.1,441,unknown
QXV77383.1,990,unknown
QXV77384.1,273,assembly;
QXV77385.1,405,assembly;
QXV77386.1,372,assembly;
QXV77387.1,441,assembly;
QXV77388.1,393,assembly;
QXV77389.1,663,infection;
QXV77390.1,321,assembly;infection;
QXV77391.1,198,unknown
QXV77391.1,198,unknown
QXV77392.1,2925,assembly;
QXV77393.1,297,assembly;
QXV77394.1,759,infection;
QXV77395.1,723,assembly;infection;
QXV77396.1,600,assembly;infection;
QXV77397.1,3777,unknown
QXV77398.1,1056,packaging;
QXV77399.1,291,assembly;
QXV77400.1,663,unknown
QXV77401.1,429,unknown
QXV77402.1,258,unknown
QXV77403.1,498,unknown
QXV77404.1,348,unknown
QXV77405.1,711,unknown
QXV77406.1,1920,unknown
QXV77407.1,927,unknown
QXV77408.1,609,assembly;
QXV77409.1,1974,unknown
QXV77410.1,408,assembly;
QXV77411.1,279,assembly;
QXV77412.1,738,unknown
QXV77413.1,267,unknown
QXV77414.1,165,unknown
QXV77415.1,243,assembly;
QXV77416.1,1116,assembly;
QXV77417.1,216,lysis;
QXV77418.1,495,lysis;
QXV77419.1,390,unknown
QXV77420.1,225,unknown
QXV77421.1,198,unknown
QXV77422.1,393,assembly;
QXV77423.1,1581,unknown
QXV77424.1,249,unknown
QXV77425.1,363,unknown
QXV77426.1,696,unknown
QXV77427.1,NA,NA
QXV77428.1,237,assembly;
QXV77429.1,222,assembly;
QXV77430.1,168,assembly;
QXV77431.1,234,unknown
QXV77432.1,270,unknown
QXV77433.1,195,unknown
QXV77434.1,234,assembly;
QXV77435.1,222,assembly;
QXV77436.1,150,assembly;
QXV77437.1,219,assembly;
QXV77438.1,285,assembly;
QXV77439.1,156,assembly;
QXV77440.1,456,unknown
QXV77441.1,NA,NA
QXV77442.1,108,unknown
QXV77443.1,114,assembly;
QXV77444.1,258,assembly;
QXV77445.1,315,assembly;
QXV77446.1,108,assembly;
QXV77447.1,543,unknown
QXV77448.1,NA,NA
QXV77449.1,NA,NA
QXV77450.1,NA,NA
QXV77451.1,255,assembly;
QXV77452.1,183,assembly;
QXV77453.1,576,unknown
QXV77454.1,198,unknown
QXV77455.1,165,assembly;
QXV77456.1,144,assembly;
QXV77457.1,246,unknown
QXV77458.1,513,unknown
QXV77459.1,213,unknown
QXV77460.1,333,assembly;
QXV77461.1,342,assembly;
QXV77462.1,228,assembly;
QXV77463.1,210,assembly;
QXV77464.1,162,assembly;
QXV77465.1,183,unknown
QXV77466.1,231,unknown
QXV78130.1,432,unknown
QXV78131.1,288,unknown
QXV78132.1,2085,packaging;
QXV78133.1,1569,unknown
QXV78134.1,480,unknown
QXV78135.1,1116,unknown
QXV78136.1,393,assembly;
QXV78137.1,1002,assembly;
QXV78138.1,351,unknown
QXV78139.1,549,unknown
QXV78140.1,489,unknown
QXV78141.1,417,unknown
QXV78142.1,657,unknown
QXV78143.1,1407,assembly;
QXV78144.1,471,assembly;
QXV78145.1,483,unknown
QXV78146.1,228,unknown
QXV78147.1,1980,unknown
QXV78148.1,711,unknown
QXV78149.1,420,unknown
QXV78150.1,1011,unknown
QXV78151.1,738,unknown
QXV78152.1,636,unknown
QXV78153.1,474,unknown
QXV78154.1,2877,assembly;
QXV78155.1,2076,unknown
QXV78156.1,246,unknown
QXV78157.1,1488,unknown
QXV78158.1,630,unknown
QXV78159.1,984,assembly;
QXV78160.1,552,assembly;infection;
QXV78161.1,342,unknown
QXV78162.1,2415,unknown
QXV78163.1,1962,infection;
QXV78164.1,NA,NA
QXV78165.1,NA,NA
QXV78166.1,732,unknown
QXV78167.1,948,unknown
QXV78168.1,399,unknown
QXV78169.1,615,replication;
QXV78170.1,597,unknown
QXV78171.1,2580,replication;packaging;
QXV78172.1,NA,NA
QXV78173.1,1773,replication;
QXV78174.1,270,unknown
QXV78175.1,945,unknown
QXV78176.1,1014,unknown
QXV78177.1,687,unknown
QXV78178.1,564,unknown
QXV78179.1,195,unknown
QXV78180.1,279,unknown
QXV78181.1,279,unknown
QXV78182.1,510,assembly;infection;
QXV78183.1,NA,NA
QXV78184.1,597,unknown
QXV78185.1,795,unknown
QXV78186.1,270,unknown
QXV78187.1,564,unknown
QXV78188.1,201,unknown
QXV78189.1,NA,NA
QXV78190.1,1104,unknown
QXV78191.1,NA,NA
QXV78192.1,606,unknown
QXV78193.1,NA,NA
QXV78194.1,978,assembly;
QXV78195.1,NA,NA
QXV78196.1,207,unknown
QXV78197.1,NA,NA
QXV78198.1,858,unknown
QXV78199.1,657,unknown
QXV78200.1,NA,NA
QXV78201.1,204,unknown
QXV78202.1,1161,unknown
QXV78203.1,471,replication;
QXV78204.1,1830,replication;
QXV78205.1,NA,NA
QXV78206.1,NA,NA
